기관코드,전체기관명,최하위기관명
C220014,한밭대학교 산학협력단 환경개선형신소재개발센터,환경개선형신소재개발센터
C220015,한밭대학교 산학협력단 중소기업협력단,중소기업협력단
C220016,한밭대학교 산학협력단 첨단화학소재상용화기술혁신센터,첨단화학소재상용화기술혁신센터
C220017,한밭대학교 공학교육센터,공학교육센터
C220018,한밭대학교 화학공학과,화학공학과
C220019,한밭대학교 건축설비공학과,건축설비공학과
C220020,한밭대학교 영어과,영어과
C220021,한밭대학교 중국어과,중국어과
C220022,한밭대학교 일본어과,일본어과
C220023,한밭대학교 응용화학생명공학부,응용화학생명공학부
C220024,한밭대학교 학생처 인력개발센터,인력개발센터
C220025,한밭대학교 산학협력단 기술클리닉센터,기술클리닉센터
C220026,한밭대학교 산학협력단 창업보육센터,창업보육센터
C220027,한밭대학교 국제교류원,국제교류원
C220028,한밭대학교 학생생활관,학생생활관
C220029,한밭대학교 산학협력단 중소기업산학협력센터,중소기업산학협력센터
C220030,한밭대학교 입학관리본부,입학관리본부
C220031,한밭대학교 입학관리본부 입학관리과,입학관리과
C220032,한밭대학교 교수학습센터,교수학습센터
C220033,한밭대학교 장애학생지원센터,장애학생지원센터
C220034,한밭대학교 교육연수원,교육연수원
C220035,한밭대학교 공학교육혁신센터,공학교육혁신센터
C220036,한밭대학교 입학관리본부 입학전형실,입학전형실
C220037,한밭대학교 단과대학 공과대학 기계공학과,기계공학과
C220038,한밭대학교 단과대학 공과대학 전자ㆍ제어공학과,전자ㆍ제어공학과
C220039,한밭대학교 단과대학 공과대학 건설환경공학과,건설환경공학과
C220040,한밭대학교 단과대학 공과대학 신소재공학과,신소재공학과
C220041,한밭대학교 단과대학 공과대학 정보통신공학과,정보통신공학과
C220042,한밭대학교 단과대학 공과대학 화학생명공학과,화학생명공학과
C220043,한밭대학교 단과대학 경상대학 경영회계학과,경영회계학과
C220044,한밭대학교 단과대학 글로벌융합학부,글로벌융합학부
C220045,한밭대학교 대학원,대학원
C220046,한밭대학교 단과대학 공과대학 설비공학과,설비공학과
C220047,한밭대학교 단과대학 정보기술대학,정보기술대학
C220048,한밭대학교 단과대학 건설환경조경대학,건설환경조경대학
C220049,한밭대학교 단과대학 정보기술대학 전기공학과,전기공학과
C220050,한밭대학교 단과대학 정보기술대학 컴퓨터공학과,컴퓨터공학과
C220051,한밭대학교 단과대학 건설환경조경대학 도시공학과,도시공학과
C220052,한밭대학교 단과대학 건설환경조경대학 건축공학과,건축공학과
C220053,한밭대학교 단과대학 건설환경조경대학 건축학과,건축학과
C220054,한밭대학교 단과대학 건설환경조경대학 시각디자인학과,시각디자인학과
C220055,한밭대학교 단과대학 건설환경조경대학 공업디자인학과,공업디자인학과
C220056,한밭대학교 산학협력단 산학협력과,산학협력과
C220057,한밭대학교 종합인력개발원,종합인력개발원
C220058,한밭대학교 단과대학 경상대학 경제학과,경제학과
C220059,한밭대학교 학부교육선진화사업단,학부교육선진화사업단
C220060,한밭대학교 학생군사교육단,학생군사교육단
C220061,한밭대학교 체육부,체육부
C240000,청주과학대학 기획연구과,기획연구과
C258000,부산외국어대학교 교무처,교무처
C258001,부산외국어대학교 교무처 교무지원부,교무지원부
C270001,한국국제대학교 기획예산처,기획예산처
C270002,한국국제대학교 대학원,대학원
C270005,한국국제대학교 사무처,사무처
C270008,한국국제대학교 산학협력단,산학협력단
C270009,한국국제대학교 생활관,생활관
C270010,한국국제대학교 생활체육지도자연수원,생활체육지도자연수원
C270011,한국국제대학교 성폭력상담소,성폭력상담소
C270012,한국국제대학교 인적자원개발처,인적자원개발처
C270014,한국국제대학교 중앙도서관,중앙도서관
C270015,한국국제대학교 직장예비군대대,직장예비군대대
C270017,한국국제대학교 평생교육원,평생교육원
C270020,한국국제대학교 공과대학 실내건축학과,실내건축학과
C270022,한국국제대학교 공과대학 컴퓨터공학과,컴퓨터공학과
C270026,한국국제대학교 대학원 교학과,교학과
C270032,한국국제대학교 사무처 시설관리과,시설관리과
C270033,한국국제대학교 사무처 총무과,총무과
C270034,한국국제대학교 사무처 회계과,회계과
C270050,한국국제대학교 교학처,교학처
C270051,한국국제대학교 교학처 교무과,교무과
C270052,한국국제대학교 교학처 학생과,학생과
C270053,한국국제대학교 국제교류처,국제교류처
C270054,한국국제대학교 비서실,비서실
C270055,한국국제대학교 입학처,입학처
C270056,한국국제대학교 전산정보원,전산정보원
C270057,한국국제대학교 원격교육원,원격교육원
C270058,한국국제대학교 발열상담센터,발열상담센터
C270059,한국국제대학교 건강보건대학,건강보건대학
C270060,한국국제대학교 관광사회과학대학,관광사회과학대학
C270061,한국국제대학교 교육예체능대학,교육예체능대학
C282000,호서대학교 사회대학,사회대학
C363000,경운대학교 대학,대학
C363001,경운대학교 본부,본부
C363002,경운대학교 대학원,대학원
C363003,경운대학교 부속기관,부속기관
C363004,경운대학교 부설기관,부설기관
C363005,경운대학교 부설연구소,부설연구소
C363006,경운대학교 대학 보건복지대학,보건복지대학
C363007,경운대학교 대학 IT멀티미디어대학,IT멀티미디어대학
C363008,경운대학교 대학원 산업정보대학원,산업정보대학원
C363009,경운대학교 대학원 사회복지대학원,사회복지대학원
C363010,경운대학교 대학 보건복지대학 안경광학과,안경광학과
C363011,경운대학교 대학 보건복지대학 물리치료학과,물리치료학과
C363012,경운대학교 대학 보건복지대학 간호학과,간호학과
C363013,경운대학교 대학 보건복지대학 작업치료학과,작업치료학과
C363014,경운대학교 대학 보건복지대학 치위생학과,치위생학과
C363015,경운대학교 대학 보건복지대학 의료경영학부,의료경영학부
C363016,경운대학교 대학 보건복지대학 아동사회복지학부,아동사회복지학부
C363017,경운대학교 대학 학부,학부
C363018,경운대학교 대학 보건복지대학 한방자원학부,한방자원학부
C363019,경운대학교 대학 보건복지대학 관광학부,관광학부
C363020,경운대학교 대학 IT멀티미디어대학 디지털전자공학과,디지털전자공학과
C363021,경운대학교 대학 IT멀티미디어대학 컴퓨터공학과,컴퓨터공학과
C363022,경운대학교 대학 IT멀티미디어대학 정보통신공학과,정보통신공학과
C363023,경운대학교 대학 IT멀티미디어대학 모바일공학과,모바일공학과
C363025,경운대학교 대학 IT멀티미디어대학 건축학부,건축학부
C363026,경운대학교 대학 학부 경찰행정학부,경찰행정학부
C363027,경운대학교 대학 학부 경호학부,경호학부
C363028,경운대학교 대학 학부 사회체육학부,사회체육학부
C363029,경운대학교 대학원 산업정보대학원 컴퓨터전자공학과,컴퓨터전자공학과
C363030,경운대학교 대학원 산업정보대학원 환경공학과,환경공학과
C363031,경운대학교 대학원 산업정보대학원 경영학과,경영학과
C363032,경운대학교 대학원 산업정보대학원 관광학과,관광학과
C363033,경운대학교 대학원 산업정보대학원 경호스포츠학과,경호스포츠학과
C363034,경운대학교 대학원 산업정보대학원 안경광학과,안경광학과
C363035,경운대학교 대학원 사회복지대학원 사회복지학과,사회복지학과
C363036,경운대학교 대학원 산업정보대학원 멀티미디어영상학과,멀티미디어영상학과
C363038,경운대학교 대학 보건복지대학 임상병리학과,임상병리학과
C363039,경운대학교 산학협력단 창업보육센터,창업보육센터
C363040,경운대학교 산학협력단 중소기업산학협력센터,중소기업산학협력센터
C363041,경운대학교 대학 IT멀티미디어대학 신소재에너지학과,신소재에너지학과
C363042,경운대학교 산학협력단 가상스튜디오센터,가상스튜디오센터
C363043,경운대학교 산학협력단 첨단모바일산업지원센터,첨단모바일산업지원센터
C363044,경운대학교 산학협력단 지역연고산업육성사업단,지역연고산업육성사업단
C363045,경운대학교 산학협력단 멀티미디어연구센터,멀티미디어연구센터
C363046,경운대학교 산학협력단 교수학습지원센터,교수학습지원센터
C363047,경운대학교 산학협력단 산학협력센터,산학협력센터
C363048,경운대학교 산학협력단 디지털콘텐츠컨버젼스교육센터,디지털콘텐츠컨버젼스교육센터
C363049,경운대학교 산학협력단 산학협력중심대학육성사업단,산학협력중심대학육성사업단
C363050,경운대학교 본부 교무처,교무처
C363051,경운대학교 본부 사무처,사무처
C363052,경운대학교 본부 학생처,학생처
C363053,경운대학교 본부 연구처,연구처
C363054,경운대학교 본부 기획실,기획실
C363056,경운대학교 부속기관 전산정보센터,전산정보센터
C363057,경운대학교 부속기관 평생교육원,평생교육원
C363058,경운대학교 부속기관 벽강중앙도서관,벽강중앙도서관
C363059,경운대학교 부속기관 생활관,생활관
C363060,경운대학교 부속기관 동해연수원,동해연수원
C363061,경운대학교 부설기관 학사행정서비스센터,학사행정서비스센터
C363062,경운대학교 부설기관 교육방송국,교육방송국
C363063,경운대학교 부설기관 교지편집국,교지편집국
C363064,경운대학교 부설기관 국제교류센터,국제교류센터
C363065,경운대학교 부설기관 어학교육원,어학교육원
C363066,경운대학교 부설기관 새마을아카데미,새마을아카데미
C363067,경운대학교 부설연구소 환경생명정보연구소,환경생명정보연구소
C363068,경운대학교 부설연구소 새마을연구소,새마을연구소
C363069,경운대학교 부설연구소 학생생활연구소,학생생활연구소
C363070,경운대학교 부설연구소 산업기술연구소,산업기술연구소
C363071,경운대학교 부설연구소 사회과학연구소,사회과학연구소
C363072,경운대학교 부설연구소 한국입체사진영상연구소,한국입체사진영상연구소
C363073,경운대학교 부설연구소 건축문화재연구소,건축문화재연구소
C363074,경운대학교 부설연구소 군사학연구소,군사학연구소
C363075,경운대학교 대학 IT멀티미디어대학 멀티미디어학과,멀티미디어학과
C363076,경운대학교 대학 IT멀티미디어대학 사진영상학과,사진영상학과
C363077,경운대학교 대학 학부 항공운항학과,항공운항학과
C363078,경운대학교 대학 학부 군사학과,군사학과
C363079,경운대학교 부속기관 취업정보센터,취업정보센터
C363080,경운대학교 본부 입학처,입학처
C363081,경운대학교 본부 실습처,실습처
C363082,경운대학교 본부 대외협력처,대외협력처
C363083,경운대학교 대학원 사회복지대학원 노인복지학과,노인복지학과
C372000,한림대학교 교무연구처,교무연구처
C372001,한림대학교 학생처,학생처
C372002,한림대학교 사무처,사무처
C372003,한림대학교 기획처,기획처
C372004,한림대학교 경영대학,경영대학
C391000,이화여자대학교 산학협력단,산학협력단
C405000,가톨릭상지대학 산학협력처,산학협력처
C405001,가톨릭상지대학 요양보호사교육원,요양보호사교육원
C407000,나사렛대학교 경영학과,경영학과
C407009,나사렛대학교 기획처 기획평가팀,기획평가팀
